Products with Zero (£0.00) or No Price
Generated: 2025-10-06 11:46:36
================================================================================

SUMMARY:
Total Parts in database: 5824
Total PricingData records: 5339
Products with £0.00 price: 0
Products with NULL/missing price: 0
Parts with no pricing data: 485
Total problematic records: 485
Unique problematic parts: 309
Duplicate records: 176

PARTS WITH NO PRICING DATA - 309 parts:
Part Number          Description                                       
C00143482            PIPE-WINDSHIELD COVER PANEL OUTLET                
C00144867-A133       BARRIER-ROOF RESERVE                              
C00146573            CLIP-VACUUM PIPE                                  
C00147880            GUARD ASSEMBLY-SLIDING SIDE DOOR                  
C00153841            BRACKET-ENGINE HARNESS                            
C00154341            BRACKET-PUR COVER TO ENGINE                       
C00154488-4100       PLATE ASSEMBLY-QUARTER INNER LOWER                
C00165650            PIPE-EXHAUST TAIL                                 
C00179646            FUSE-MAIN FUSE BOX                                
C00180866            CRANKSHAFT ASSEMBLY                               
C00183602            GATEWAY ASSEMBLY                                  
C00184468            CYLINDER BLOCK MACHINED ASSEMBLY                  
C00185735            PIPE-LITTLE CIRCLE WATER                          
C00191301-4100       SECTION-FRONT ROOF CROSS MEMBER OUT PANEL REI...  
C00191654            TRIM-REAR WHEELHOUSE COVER                        
C00191655            TRIM-REAR WHEELHOUSE COVER                        
C00192355            INSULATOR-WINDSHIELD GUTTER                       
C00193380            SCREW-STOP LAMP                                   
C00193841            BRACKET-CRANKSHAFT SENSOR                         
C00200268            HARNESS-REAR DOOR                                 
C00200270            HARNESS-REAR DOOR                                 
C00200521-4100       PLATE ASSEMBLY-BODY SIDE MID UPPER                
C00200878            BRACKET-CAMSHAFT POSITION SENSOR                  
C00202003            BALANCE SHAFT                                     
C00203234            HEADLINING ASSEMBLY-DRIVER                        
C00206002            CONTROLLER-DRIVE ASSIST SYSTEM                    
C00207343            ANAEROBIC ADHESIVE-ENGINE                         
C00207615            BRACKET-EXHAUST GAS RECIRCULATION BYPASS VALV...  
C00210106            ANTI-SEIZE/HIGH TEMPERATURE FASTENERS             
C00211013-F113       PLUG-PANEL-REAR END                               
C00211114            BOLT-WIPER MOTOR ASSEMBLY                         
C00211249            PIPE-SMALL CIR OUT WATER                          
C00211486-A126       BIN ASSEMBLY-RESERVE                              
C00212072            NUT-WIPER MOTOR ASSEMBLY                          
C00212331            NUT-INSTRUMENT PANEL                              
C00213625            BRACKET-INTERCOOLER MOUNT                         
C00213633            BRACKET-INTERCOOLER MOUNT                         
C00215327            FUSE-MAIN FUSE BOX                                
C00215485            PIPE-EXHAUST MANIFOLD TO HP EXHAUST GAS RECIR...  
C00216406            HANDLE-DRIVER SEAT RECLINER                       
C00218004            MODULE-SPEED CONTROL                              
C00218298            HOSE-RESERVOIR TO CLUTCH MASTER CYLINDER OIL      
C00218303            CLUTCH MASTER CYLINDER RESERVOIR TO MASTER CY...  
C00218477            HARNESS ASSEMBLY-ENGINE                           
C00220657            MOTOR-FRONT FRESH SERVO                           
C00220660            MOTOR-FRONT MODE SERVO                            
C00220664            PLATE-AIR CONDITIONING FILTER COVER               
C00221439            SEALANT-ENGINE                                    
C00224751            CYLINDER BLOCK MACHINED ASSEMBLY                  
C00229774            BRACKET-PUR COVER TO ENGINE                       
C00235572-4100       PLATE-BODY SIDE MID                               
C00236683            COVER-LICENCE CIS                                 
C00241088-4100       PANEL ASSEMBLY-UPPER SIDE RAIL INSTALL            
C00243060            ELECTRONIC CONTROL UNIT-PEPS                      
C00243346            TRANSITION ASSEMBLY-SLIDING DOOR LATCH            
C00246092            SYNCHRONIZER ASSEMBLY-3/4                         
C00254221-4100       PANEL ASSEMBLY-PILLAR D OUTER PANEL REINFORCE...  
C00270572            GATEWAY ASSEMBLY                                  
C00274529            BRACKET-OXYGEN SENSOR TO ENGINE                   
C00279853            CUSHION-B/PILLAR BARRIER                          
C00281639            BRACKET-INTERCOOLER MOUNT                         
C00283252-4100       CROSSMEMBER ASSEMBLY-#5                           
C00304649-A176       BODY ASSEMBLY-INSTRUMENT PANEL                    
C00307363            HARNESS-ANTENNA                                   
C00308737            WASHER-EXHAUST MANIFOLD                           
C00310211            PLATE-H/BRAKE COVER FRONT UPPER                   
C00314991            REAR AXEL ASSEMBLY-BRAKE                          
C00314993            MEMBER ASSEMBLY-R/ALX                             
C00316705            RUBBER SHACKLE-FRAME TO EXH(HT)                   
C00325156            BOLT/SCREW-DIFFERENTIAL HOUSING                   
C00334164            FUSE-PFB FUSE BOX                                 
C00334165            CAP-PRE FUSE BOX                                  
C00334166            FUSE-PFB FUSE BOX                                 
C00335870            PIPE-WINDSHIELD COVER PANEL OUTLET                
C00338220            WELDING ASSEMBLY-FUEL TANK                        
C00348029            CAMSHAFT-INTAKE                                   
C00349212-4100       PANEL ASSEMBLY-FRONT FLOOR                        
C00349765-A136       PLATE ASSEMBLY-A/PILLAR UPPER TRIM                
C00357368-4100       RAIL ASSEMBLY-FRONT SIDE                          
C00360865            HOLLOW-FRONT COMPARTMENT COVER                    
C00363607-4100       CROSSMEMBER ASSEMBLY-#2                           
C00374109            MUFFLER ASSEMBLY-REAR                             
C00382414            HUB-FRONT OUTER                                   
C00385279-4100       CROSSMEMBER-FRONT ROOF                            
C00386350            LAMP ASSEMBLY-FRONT ROOF INNER READING            
C00399989            CORNER ASSEMBLY-BRAKE                             
C00399991            CORNER ASSEMBLY-BRAKE                             
C00400891-4100       PANEL-FRONT ROOF OUTER                            
C00405576-4100       RAIL ASSEMBLY-FRONT SIDE                          
C00405783            TURBOCHARGER ASSEMBLY                             
C00422751            PEDAL ASSEMBLY-BRAKE                              
C00423609            PINION-DIFFERENTIAL                               
C00429557            COMPONENTS-REAR HOUSING                           
C00437642            SENSOR-TMP                                        
C00446282            IDLER PULLEY GATES-ACCESSORY BELT                 
C00450210            MEMBER-INSTRUMENT PANEL CROSS                     
C00469711            CAMSHAFT COVER                                    
C00471078            OIL-ENGINE                                        
C00471087            OIL-ENGINE                                        
C00472116            BRACKET-GATEWAY                                   
C00472602            PLUG-FUEL FITTING                                 
C00473445            AXLE SHAFT                                        
C00473948            PLATE-H/BRAKE COVER FRONT LOWER                   
C00474703            HARDNESS-BATTERY POSITIVE                         
C00479686            TURBOCHARGER ASSEMBLY                             
C00501468            OIL-ENGINE                                        
C00501469            OIL-ENGINE                                        
